user_id,user_name,movie_id,movie_name,movie_rating,movie_review,
1,roshan,101,american beauty,8,"great movie! the story is new and the CG is upto the mark. Action scenes, emotion and love-story are so good in the movie.",
2,chethan,103,sitaramam,8.5,"I was not intrested in watching the movie first. but when i wtched it in the theater, i felt like this is a master piece. great love-story with emotional ending. ",
1,roshan,106,rrr,9,"the name ""ss rajamouli"" is enough to watch the movie. acting, screenplay, direction, cinematography are upto the mark. it's a masterpiece. action scens are great but ending is predictable.",
1,roshan,107,django unchained,5,"pacing of the movie is too slow. at many parts i felt like sleeping. even though the story is  good, screenplay is too boring. ",
1,roshan ,110,premalu,8,enjoyed every scene of the movie. it was funny and a beautiful love concept and story telling.,
1,roshan ,112,titanic,9,"this movie made me cry in the end. the chemistry between leo and kate was so beautiful. james cameron sculpted the love-story  so beautifully. even though the movie was released in 1997, it feels so modern and romantic. ",
2,chethan,101,eega,9,"Another rajamouli's great film. kicha sudeep lived in his character. by the first 30 mins of the movie, i was so involved with the chemistry of nani and samantha. the love-story around them is so beautiful and feels like a painting. then comes the revenge of nani as a fly, making the movie action-packed entertainment.",
2,chethan,106,rrr,8,RRR: Behind and Beyond (2024) is a good reference manual and a clear-eyed primer for filming action-sequences. A bible for future action film makers!,
2,chethan,123,mad,7.5,"Just finished watching the movie, ""Mad,"" and honestly, This film is a total on comic timing, and a storyline that keeps you on your toes. It's been a long time since a movie made me laugh so hard. The screenplay, the dialogues, the performances - everything was top-notch and had me rolling with laughter. If anyone is looking for a movie that will brighten their day and leave them in fits of giggles, then ""Mad"" is definitely the one to watch.",
2,chethan,104,sankranthiki vastunam,8,"Sankranthiki Vasthunam is a high-octane entertainer that keeps you hooked from start to finish. With its impeccable blend of comedy, drama, and emotion, the movie is a roller-coaster ride of laughter and heartwarming moments. Each character is portrayed with remarkable depth, making the ensemble cast truly shine. The storyline is fast-paced, filled with witty dialogues, humorous situations, and a poignant message that revolves around the significance of a ""Teacher"" or ""Guru"" in one's life.",
2,chethan,105,american beauty,8.5,"love the dialogue (except for the tennagey high school talk). It's funnier than some of some ""comedies"" out there (it's funny how you start talking when you stop caring about what others think of you). Yeah, plot was about day to day life but I found the characters interesting enough, it was never boring.",
1,roshan ,108,lala land,8,"La La Land stands as a cinematic spectacle. From the opening scene you can understand that this movie is not messing around, this scene delivers amazing feelings and prepares you for an emotional roller-coaster throughout the film. It is a pure Hollywood love-story that has been portrayed by two amazingly talented actors. The movie circles around two options. Either choose love or choose dreams.",
2,chethan,109,cure,4,"Cure has a very interesting and original premise- that we might be manipulated to commit crimes because of our instincts. I do not quite agree wit what Cure tries to tell us- that everyone has some kind of thoughts to kill, or at least, to make a person disappear from their lives. It is a very dangerous thing to believe, that only society with its rules keeps us from murdering other people- and, as we see in the movie, it does not require a lot of efforts to make someone kill others. The exaggeration of the premise does not work and fit in a crime movie- it is laughable to believe that someone can easily hypnotize us to kill. The fact that, by the end of the film, only a look is required to pass the urge to kill (the main character does not even talk to the waitress and she is already manipulated to commit a crime- by using her knife) is far-fetched and, I would say, disturbing for disturbing's sake. 
",
2,chethan ,111,conjuring,5,"I'm not really into the exorcist kind of movies anyways, but I thought I'd give it a try! It didn't really catch my attention as much as I hoped it would, but it was decent! I'm going to try the 2nd one & 3rd one as well just to see if these movies get better with time!",
1,roshan ,111,cure,4,"Cure has a very interesting and original premise- that we might be manipulated to commit crimes because of our instincts. I do not quite agree wit what Cure tries to tell us- that everyone has some kind of thoughts to kill, or at least, to make a person disappear from their lives. It is a very dangerous thing to believe, that only society with its rules keeps us from murdering other people- and, as we see in the movie, it does not require a lot of efforts to make someone kill others. The exaggeration of the premise does not work and fit in a crime movie- it is laughable to believe that someone can easily hypnotize us to kill. The fact that, by the end of the film, only a look is required to pass the urge to kill (the main character does not even talk to the waitress and she is already manipulated to commit a crime- by using her knife) is far-fetched and, I would say, disturbing for disturbing's sake. ",
